Año,Mes_Nombre,Programa_Base,Asignatura,Desaprobado,Total_Alumnos,Tasa_Desaprobados
2015,Setiembre,CARRERA DE EDUCACION,METODOLOGÍA DE LA INVESTIGACIÓN ,0,17,0.0
2015,Setiembre,CARRERA DE EDUCACION,METODOS DE ESTUDIO - HS,2,7,0.2857
2015,Setiembre,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN CIENCIAS SOCIALES Y COMUNICACIÓN,ACTIVIDADES I,0,1,0.0
2015,Setiembre,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN CIENCIAS SOCIALES Y COMUNICACIÓN,INGLÉS I,0,1,0.0
2015,Setiembre,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN CIENCIAS SOCIALES Y COMUNICACIÓN,METODOLOGÍA DE LA INVESTIGACIÓN ,0,1,0.0
2015,Setiembre,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN INICIAL,INGLÉS I,1,7,0.1429
2015,Setiembre,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN INICIAL,INGLÉS II,0,3,0.0
2015,Setiembre,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN INICIAL,TECNOLOGÍA DE LA INFORMACIÓN Y COMUNICACIÓN (TIC) EN EDUCACIÓN ,0,10,0.0
2015,Setiembre,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN MATEMÁTICA E INFORMÁTICA,INGLÉS I,0,3,0.0
2015,Setiembre,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN MATEMÁTICA E INFORMÁTICA,TECNOLOGÍA DE LA INFORMACIÓN Y COMUNICACIÓN (TIC) EN EDUCACIÓN ,0,3,0.0
2016,Abril,CARRERA DE CONTABILIDAD Y FINANZAS,ACTIVIDADES I,2,16,0.125
2016,Abril,CARRERA DE CONTABILIDAD Y FINANZAS,ECONOMÍA DE LA EMPRESA,1,10,0.1
2016,Abril,CARRERA DE CONTABILIDAD Y FINANZAS,ENTORNO MACROECONÓMICO,0,3,0.0
2016,Abril,CARRERA DE CONTABILIDAD Y FINANZAS,FILOSOFÍA Y ÉTICA,7,31,0.2258
2016,Abril,CARRERA DE CONTABILIDAD Y FINANZAS,INGLÉS I,1,14,0.0714
2016,Abril,CARRERA DE CONTABILIDAD Y FINANZAS,INGLÉS II,2,7,0.2857
2016,Abril,CARRERA DE CONTABILIDAD Y FINANZAS,INTRODUCCIÓN A LA ECONOMÍA,4,24,0.1667
2016,Abril,CARRERA DE CONTABILIDAD Y FINANZAS,MARCO LEGAL DE LOS NEGOCIOS,2,10,0.2
2016,Abril,CARRERA DE CONTABILIDAD Y FINANZAS,METODOLOGÍA DE LA INVESTIGACIÓN ,0,11,0.0
2016,Abril,CARRERA DE CONTABILIDAD Y FINANZAS,MÉTODOS DE ESTUDIO,2,16,0.125
2016,Abril,CARRERA DE CONTABILIDAD Y FINANZAS,TALLER DE EXPRESIÓN ORAL,1,18,0.0556
2016,Abril,CARRERA DE CONTABILIDAD Y FINANZAS,TALLER DE INDUCCIÓN A LA PROFESIÓN,1,12,0.0833
2016,Abril,CARRERA DE ECONOMIA,ACTIVIDADES I,1,10,0.1
2016,Abril,CARRERA DE ECONOMIA,ECONOMETRÍA BÁSICA,0,8,0.0
2016,Abril,CARRERA DE ECONOMIA,FILOSOFÍA Y ÉTICA,0,12,0.0
2016,Abril,CARRERA DE ECONOMIA,GERENCIA FINANCIERA,0,1,0.0
2016,Abril,CARRERA DE ECONOMIA,INGLÉS I,1,8,0.125
2016,Abril,CARRERA DE ECONOMIA,INGLÉS II,1,10,0.1
2016,Abril,CARRERA DE ECONOMIA,INTRODUCCIÓN A LA ECONOMÍA,3,12,0.25
