Periodo_Real,Año,Mes,Codigo_Plan_SAP,Programa,Facultad,Gestion,Modalidad_Agrupada,Concluyeron el Plan,Admitidos Matriculados,Nuevos Traslados,Nuevos Convalidados,Permanentes Continuos,Perm. Siempre (0m),Perm. 1mes,Permanentes Incontinuos,Reincorporados (6-12m),Reincorporados (>12m),Riesgo Deserción (1m),Riesgo Deserción (2m),Deserción Temprana (3-6m),Deserción Tardía (7-12m),Deserción Muy Tardía (>12m),Retenidos (1m),Matríc. regular a Distancia,Estudiantes matrí. TOTAL
2017-07,2017,Julio,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,5,9,0,0,52,42,10,5,0,0,18,6,29,9,49,52,67,71
2017-08,2017,Agosto,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,4,5,0,0,62,54,8,7,1,1,10,8,21,15,48,62,80,80
2017-09,2017,Setiembre,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,2,5,0,0,55,50,5,9,0,0,24,5,18,15,50,55,51,71
2017-10,2017,Octubre,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,3,8,0,0,62,51,11,0,2,0,17,13,14,20,50,62,75,75
2017-11,2017,Noviembre,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,2,5,0,0,63,59,4,4,1,0,12,13,18,21,52,63,72,75
2017-12,2017,Diciembre,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,7,1,0,0,52,51,1,5,0,1,16,10,26,18,54,52,66,66
2018-01,2018,Enero,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,4,7,0,0,44,37,7,7,2,0,21,7,25,18,55,44,43,64
2018-02,2018,Febrero,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,4,7,0,1,50,45,5,7,0,0,14,13,22,17,59,50,68,68
2018-03,2018,Marzo,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,3,12,0,0,49,43,6,8,1,0,18,8,19,22,61,49,73,73
2018-04,2018,Abril,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,9,10,0,0,65,56,9,6,1,0,8,7,19,16,67,65,72,91
